setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
46,2020,09/11/2020,15/11/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,4.00,5749.00
53,2020,28/12/2020,03/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,1,3.00,7660.00
18,2021,03/05/2021,09/05/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,1.00,21237.00
17,2020,20/04/2020,26/04/2020,64,GIRONA,6400,GIRONA,Home,70 a 79,3,4.00,17766.00
31,2021,02/08/2021,08/08/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,1.00,5433.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,3,5.00,19611.00
11,2022,14/03/2022,20/03/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,60 a 69,4,1.00,6168.00
24,2022,13/06/2022,19/06/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,80 o més,3,1.00,2949.00
8,2022,21/02/2022,27/02/2022,64,GIRONA,6400,GIRONA,Home,70 a 79,3,2.00,18497.00
1,2021,04/01/2021,10/01/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,2,1.00,13797.00
34,2022,22/08/2022,28/08/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 69,3,1.00,17730.00
40,2020,28/09/2020,04/10/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,70 a 79,3,1.00,2599.00
5,2021,01/02/2021,07/02/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,4,2.00,2686.00
2,2022,10/01/2022,16/01/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,4,3.00,9753.00
20,2021,17/05/2021,23/05/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,3.00,26783.00
14,2021,05/04/2021,11/04/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,4.00,13844.00
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,3.00,32347.00
29,2021,19/07/2021,25/07/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,4,1.00,17938.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,2,6.00,15584.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 69,3,3.00,51182.00
